src_ip,dst_ip,src_port,dst_port,protocol,start_time,end_time,duration_seconds,packet_count,byte_count,termination_reason
192.168.1.13,192.168.1.6,23,50957,TCP,1789895336.83371,1789895336.83371,0.0,1,54,end_of_capture
192.168.1.13,192.168.1.6,111,50958,TCP,1789895336.833712,1789895336.833712,0.0,1,74,end_of_capture
192.168.1.6,192.168.1.13,50959,143,TCP,1789895336.83443,1789895336.83443,0.0,1,78,end_of_capture
192.168.1.13,192.168.1.6,143,50959,TCP,1789895336.841657,1789895336.841657,0.0,1,54,end_of_capture
192.168.1.6,192.168.1.13,50960,23,TCP,1789895336.921858,1789895336.921858,0.0,1,78,end_of_capture
192.168.1.6,192.168.1.13,50961,113,TCP,1789895336.922237,1789895336.922237,0.0,1,78,end_of_capture
192.168.1.6,192.168.1.13,50962,443,TCP,1789895336.922515,1789895336.922515,0.0,1,78,end_of_capture
192.168.1.6,192.168.1.13,50963,135,TCP,1789895336.922794,1789895336.922794,0.0,1,78,end_of_capture
192.168.1.13,192.168.1.6,23,50960,TCP,1789895336.929849,1789895336.929849,0.0,1,54,end_of_capture
192.168.1.13,192.168.1.6,113,50961,TCP,1789895336.929852,1789895336.929852,0.0,1,54,end_of_capture
192.168.1.13,192.168.1.6,443,50962,TCP,1789895336.931877,1789895336.931877,0.0,1,54,end_of_capture
192.168.1.13,192.168.1.6,135,50963,TCP,1789895336.931878,1789895336.931878,0.0,1,54,end_of_capture
192.168.1.6,192.168.1.13,50964,143,TCP,1789895336.935537,1789895336.935537,0.0,1,78,end_of_capture
192.168.1.13,192.168.1.6,143,50964,TCP,1789895336.94179,1789895336.94179,0.0,1,54,end_of_capture
192.168.1.6,192.168.1.13,50965,53,TCP,1789895337.028482,1789895337.028482,0.0,1,78,end_of_capture
192.168.1.6,192.168.1.13,50966,22,TCP,1789895337.028862,1789895337.038493,0.009630918502807617,3,198,end_of_capture
192.168.1.6,192.168.1.13,50967,25,TCP,1789895337.029109,1789895337.029109,0.0,1,78,end_of_capture
192.168.1.6,192.168.1.13,50968,445,TCP,1789895337.02934,1789895337.02934,0.0,1,78,end_of_capture
192.168.1.6,192.168.1.13,50969,21,TCP,1789895337.03649,1789895337.03649,0.0,1,78,end_of_capture
192.168.1.13,192.168.1.6,53,50965,TCP,1789895337.038284,1789895337.038284,0.0,1,54,end_of_capture
192.168.1.13,192.168.1.6,22,50966,TCP,1789895337.038286,1789895337.038286,0.0,1,74,end_of_capture
192.168.1.13,192.168.1.6,25,50967,TCP,1789895337.038288,1789895337.038288,0.0,1,54,end_of_capture
192.168.1.13,192.168.1.6,445,50968,TCP,1789895337.038289,1789895337.038289,0.0,1,54,end_of_capture
192.168.1.6,192.168.1.13,50970,71,TCP,1789895337.038995,1789895337.038995,0.0,1,78,end_of_capture
192.168.1.13,192.168.1.6,21,50969,TCP,1789895337.042094,1789895337.042094,0.0,1,54,end_of_capture
192.168.1.13,192.168.1.6,71,50970,TCP,1789895337.04788,1789895337.04788,0.0,1,54,end_of_capture
192.168.1.6,192.168.1.13,50971,445,TCP,1789895337.133965,1789895337.133965,0.0,1,78,end_of_capture
192.168.1.6,192.168.1.13,50972,25,TCP,1789895337.134258,1789895337.134258,0.0,1,78,end_of_capture
192.168.1.6,192.168.1.13,50973,53,TCP,1789895337.134515,1789895337.134515,0.0,1,78,end_of_capture
192.168.1.6,192.168.1.13,50974,21,TCP,1789895337.136899,1789895337.136899,0.0,1,78,end_of_capture
192.168.1.6,192.168.1.13,50975,71,TCP,1789895337.139889,1789895337.139889,0.0,1,78,end_of_capture
192.168.1.13,192.168.1.6,445,50971,TCP,1789895337.145334,1789895337.145334,0.0,1,54,end_of_capture
192.168.1.13,192.168.1.6,25,50972,TCP,1789895337.145337,1789895337.145337,0.0,1,54,end_of_capture
192.168.1.13,192.168.1.6,53,50973,TCP,1789895337.145339,1789895337.145339,0.0,1,54,end_of_capture
192.168.1.13,192.168.1.6,21,50974,TCP,1789895337.145341,1789895337.145341,0.0,1,54,end_of_capture
192.168.1.13,192.168.1.6,71,50975,TCP,1789895337.145343,1789895337.145343,0.0,1,54,end_of_capture
